[91mDeleted message -> [0mslackbot : email uploaded a file: <https://ecoevo.slack.com/files/slackbot/F0MTZEE3A/request_for_approval__travel_request__guest___78000_yen__rent_for_claire_morandin__south_hill_211_|Request for approval: Travel Request (Guest), 78000 Yen, Rent for Claire Morandin (South Hill 211)>
[91mDeleted message -> [0mslackbot : email uploaded a file: <https://ecoevo.slack.com/files/slackbot/F0MLV1BEJ/request_for_approval__purchase_request__unit___3_564_yen__consumables__lenovo_mini_displayport_displayport___adaptor|Request for approval: Purchase Request (Unit), 3,564 Yen, Consumables: Lenovo Mini DisplayPort DisplayPort &amp; adaptor>
[91mDeleted message -> [0mslackbot : email uploaded a file: <https://ecoevo.slack.com/files/slackbot/F0MAQ19A5/request_for_approval__direct_order__330_000_yen__research_publication_fee__genome_biology|Request for approval: Direct Order, 330,000 Yen, Research publication fee: Genome Biology>
[91mDeleted message -> [0mslackbot : email uploaded a file: <https://ecoevo.slack.com/files/slackbot/F0MAHJGF7/request_for_approval__direct_order__40_089_yen__reagent_primer_1_4__81555460__1_12__8157554___1__81576252____ltj___ltj|Request for approval: Direct Order, 40,089 Yen, Reagent:Primer 1?4 #81555460, 1?12 #8157554 &amp; 1 #81576252 　LTJ　LTJ>
[91mDeleted message -> [0mslackbot : email uploaded a file: <https://ecoevo.slack.com/files/slackbot/F0LPQ5WF4/request_for_approval__direct_order__300_000_yen__research_publication_fee__genome_biology|Request for approval: Direct Order, 300,000 Yen, Research publication fee: Genome Biology>
[91mDeleted message -> [0mslackbot : email uploaded a file: <https://ecoevo.slack.com/files/slackbot/F0LGZ0DHN/request_for_approval__direct_order__47_520_yen__reagent_fastgene_96well_plate___adhesive_pcr_seal|Request for approval: Direct Order, 47,520 Yen, Reagent:FastGene 96well plate &amp; Adhesive PCR Seal>
[91mDeleted message -> [0mslackbot : email uploaded a file: <https://ecoevo.slack.com/files/slackbot/F0LBNPTPW/request_for_approval__travel_request__oist_member___40000_yen__giving_a_talk___biodiversity_research_center_at_academia_sinica_in_taipei|Request for approval: Travel Request (OIST Member), 40000 Yen, Giving a talk @ Biodiversity Research Center at Academia Sinica in Taipei>
[91mDeleted message -> [0mslackbot : email uploaded a file: <https://ecoevo.slack.com/files/slackbot/F0L8K2D2B/request_for_approval__direct_order__4_450_yen__queen_cups|Request for approval: Direct Order, 4,450 Yen, Queen cups>
[91mDeleted message -> [0mslackbot : email uploaded a file: <https://ecoevo.slack.com/files/slackbot/F0L8FSM6F/request_for_approval__direct_order__39_690_yen__consumables_nunc_f96_microwell_plate_with_lid__black__50__237105_thermo|Request for approval: Direct Order, 39,690 Yen, Consumables:Nunc F96 Microwell plate with lid, Black (50) 237105 Thermo>
[91mDeleted message -> [0mslackbot : email uploaded a file: <https://ecoevo.slack.com/files/slackbot/F0L8CHY8L/request_for_approval__direct_order__102_060_yen__consumables_ap96__p250tips__96_10racks__717251__beckman|Request for approval: Direct Order, 102,060 Yen, Consumables:AP96  P250tips  96*10racks  717251  Beckman>
[91mDeleted message -> [0mslackbot : email uploaded a file: <https://ecoevo.slack.com/files/slackbot/F0L5C2PK6/request_for_approval__direct_order__42_113_yen__consumables_pipes_and_net|Request for approval: Direct Order, 42,113 Yen, Consumables:Pipes and net>
[91mDeleted message -> [0mslackbot : email uploaded a file: <https://ecoevo.slack.com/files/slackbot/F0L1Z4C0G/request_for_approval__direct_payment__80_000_yen__conference_registration_fee_-keystone_symposia___carmen_|Request for approval: Direct Payment, 80,000 Yen, Conference registration fee -Keystone symposia  (Carmen)>
